pl_name,pl_rade,pl_radeerr1,pl_bmasse,pl_bmassprov,pl_orbsmax,st_rad,sy_dist,disc_year,discoverymethod,disc_facility
WASP-94 A b,17.71022,1.45717,158.915,Mass,0.055,1.48,211.211,2014,Transit,SuperWASP
WASP-94 B b,14.1,,196.411,Msini,0.0335,1.35,208.696,2014,Radial Velocity,SuperWASP
WASP-69 b,11.21,0.22,82.58,Mass,0.0453,0.801,49.9605,2014,Transit,SuperWASP
WASP-84 b,10.72,0.27,220.0,Mass,0.0778,0.768,100.588,2014,Transit,SuperWASP
WASP-20 b,15.46839337,0.44835923,98.841,Mass,0.05999,1.242,211.877,2015,Transit,SuperWASP
HATS-6 b,11.186582,0.212971,101.38777,Mass,0.03623,0.57,169.318,2015,Transit,HATSouth
KELT-7 b,17.9344,0.67254,441.7837,Mass,0.04415,1.81,136.681,2015,Transit,KELT
K2-18 b,2.37,0.22,8.92,Mass,0.1429,0.411,38.0266,2015,Transit,K2
KELT-8 b,18.15858,1.1209,209.7678,Mass,0.0455,1.46,197.572,2015,Transit,KELT
K2-22 b,2.3,0.1,444.962,Mass,0.009,0.58,243.836,2015,Transit,K2
WASP-47 c,,,447.0,Mass,1.393,1.156,264.78,2015,Radial Velocity,La Silla Observatory
WASP-47 d,3.65,0.03,15.5,Mass,0.085,1.156,264.78,2015,Transit,K2
WASP-47 e,1.83,0.02,9.0,Mass,0.01673,1.156,264.78,2015,Transit,K2
GJ 1132 b,1.19151465,0.03811053,1.83704819,Mass,0.0157,0.2211,12.613,2015,Transit,Cerro Tololo Inter-American Observatory
WASP-76 b,20.78145022,0.86309151,284.13859586,Mass,0.033,1.756,194.459,2016,Transit,SuperWASP
KELT-4 A b,19.044091,0.515614,286.68266,Mass,0.04317,1.603,218.05,2016,Transit,KELT
TRAPPIST-1 b,1.116,0.014,1.374,Mass,0.01154,0.1192,12.42988881,2016,Transit,La Silla Observatory
TRAPPIST-1 c,1.097,0.014,1.308,Mass,0.0158,0.1192,12.42988881,2016,Transit,La Silla Observatory
TRAPPIST-1 d,0.788,0.011,0.388,Mass,0.02227,0.1192,12.42988881,2016,Transit,La Silla Observatory
K2-34 b,13.75,0.58,539.67534,Mass,0.0442,1.42,348.646,2016,Transit,K2
WASP-121 b,19.52604438,0.06725388,371.85923619,Mass,0.02571,1.461,269.898,2016,Transit,SuperWASP
HIP 41378 b,2.64,0.022,6.9,Mass,0.1303,1.3,106.289,2016,Transit,K2
HIP 41378 c,2.74,0.043,5.97,Mass,0.2093,1.3,106.289,2016,Transit,K2
HIP 41378 d,3.65,0.029,6.53,Mass,1.17,1.3,106.289,2016,Transit,K2
HIP 41378 e,5.19,0.04,7.62,Mass,0.68,1.3,106.289,2016,Transit,K2
HIP 41378 f,9.47,0.07,25.0,Mass,1.394,1.3,106.289,2016,Transit,K2
HD 3167 b,1.601,0.048,4.844,Mass,0.01814,0.871,47.2899,2016,Transit,K2
HD 3167 c,2.983,0.083,11.41,Mass,0.1794,0.871,47.2899,2016,Transit,K2
HAT-P-65 b,18.05766791,0.26901554,176.07693748,Mass,0.04042,1.666,738.519,2016,Transit,HATNet
WASP-131 b,13.74221034,0.41473229,86.76715511,Mass,0.0608,1.561,200.075,2016,Transit,SuperWASP-South
WASP-139 b,8.9672,0.56045,37.18611,Mass,0.062,0.8,212.472,2016,Transit,SuperWASP-South
WASP-127 b,14.694999,0.280225,52.346601,Mass,0.0484,1.333,159.507,2016,Transit,SuperWASP
TRAPPIST-1 e,0.92,0.013,0.692,Mass,0.02925,0.1192,12.42988881,2017,Transit,Multiple Observatories
TRAPPIST-1 f,1.045,0.013,1.039,Mass,0.03849,0.1192,12.42988881,2017,Transit,Multiple Observatories
TRAPPIST-1 g,1.129,0.015,1.321,Mass,0.04683,0.1192,12.42988881,2017,Transit,Multiple Observatories
TRAPPIST-1 h,0.755,0.014,0.326,Mass,0.06189,0.1192,12.42988881,2017,Transit,Multiple Observatories
HD 106315 b,2.44,0.17,12.6,Mass,0.0907,1.296,109.353,2017,Transit,K2
HD 106315 c,4.35,0.23,15.2,Mass,0.1536,1.296,109.353,2017,Transit,K2
LHS 1140 b,1.73,0.025,5.6,Mass,0.0946,0.2159,14.9861,2017,Transit,MEarth Project
KELT-11 b,15.13212395,1.12089807,65.15482343,Mass,0.0623,2.69,99.1596,2017,Transit,KELT-South
KELT-9 b,21.70058664,0.52682209,915.34581216,Mass,0.03368,2.418,204.455,2017,Transit,KELT-North
HD 3167 d,2.61,,7.3,Mass,0.077,0.871,47.2899,2017,Radial Velocity,Multiple Observatories
WASP-107 b,10.53646,0.22418,30.51152707,Mass,0.055,0.657,64.7414,2017,Transit,SuperWASP-South
