lon,lat,segment,kind
-175.3317,-15.8622,27,ridge
-175.2798,-15.7921,27,ridge
-175.1993,-15.7145,27,ridge
-175.1398,-15.6562,27,ridge
,,27,ridge
166.0249,-10.515,28,ridge
166.355,-10.5356,28,ridge
166.5974,-10.5213,28,ridge
166.7939,-10.5492,28,ridge
166.8118,-10.7518,28,ridge
167.0405,-10.7511,28,ridge
,,28,ridge
167.2445,-10.7814,29,ridge
167.4496,-10.792,29,ridge
167.5634,-10.8058,29,ridge
167.6936,-10.8317,29,ridge
167.8025,-10.8443,29,ridge
,,29,ridge
168.1591,-13.5374,30,ridge
168.3592,-13.554,30,ridge
168.5944,-13.58,30,ridge
168.5966,-13.6918,30,ridge
168.8205,-13.7118,30,ridge
169.0344,-13.7344,30,ridge
169.1732,-13.7466,30,ridge
169.3169,-13.7418,30,ridge
169.3059,-13.6204,30,ridge
169.4445,-13.6084,30,ridge
169.5546,-13.6148,30,ridge
169.5512,-13.8091,30,ridge
169.7473,-13.7905,30,ridge
169.7486,-13.9386,30,ridge
169.9048,-13.9385,30,ridge
170.0523,-13.9373,30,ridge
170.0608,-14.0561,30,ridge
170.3093,-14.0347,30,ridge
170.4804,-14.0188,30,ridge
170.619,-14.0019,30,ridge
170.724,-14.0035,30,ridge
170.7303,-14.1549,30,ridge
170.8628,-14.1515,30,ridge
171.0202,-14.1478,30,ridge
171.1488,-14.1298,30,ridge
171.2773,-14.0984,30,ridge
171.287,-13.9274,30,ridge
171.4656,-13.9053,30,ridge
171.6141,-13.8762,30,ridge
171.6304,-13.7462,30,ridge
171.8394,-13.7736,30,ridge
171.972,-13.7823,30,ridge
172.0895,-13.7935,30,ridge
172.1223,-13.6827,30,ridge
172.1326,-13.5624,30,ridge
172.2987,-13.5562,30,ridge
172.4837,-13.5547,30,ridge
172.6548,-13.5424,30,ridge
172.8962,-13.5611,30,ridge
172.9153,-13.7516,30,ridge
173.0603,-13.7553,30,ridge
173.1843,-13.7773,30,ridge
,,30,ridge
-113.194,-17.5485,31,ridge
-113.2137,-17.6052,31,ridge
-113.2413,-17.6771,31,ridge
-113.2768,-17.7338,31,ridge
-113.3084,-17.8056,31,ridge
-113.3517,-17.8849,31,ridge
-113.3596,-17.949,31,ridge
-113.3636,-18.0132,31,ridge
-113.3636,-18.0471,31,ridge
,,31,ridge
-113.2729,-17.9679,32,ridge
-113.2886,-18.0735,32,ridge
-113.2847,-18.1452,32,ridge
-113.3005,-18.2017,32,ridge
-113.3281,-18.2733,32,ridge
-113.3636,-18.3336,32,ridge
-113.3793,-18.3788,32,ridge
-113.3872,-18.4653,32,ridge
-113.3912,-18.4954,32,ridge
,,32,ridge
-113.2729,-18.3938,33,ridge
-113.2886,-18.4691,33,ridge
-113.3123,-18.5556,33,ridge
-113.3478,-18.6271,33,ridge
-113.403,-18.691,33,ridge
-113.47,-18.7398,33,ridge
-113.4976,-18.7962,33,ridge
-113.5095,-18.8487,33,ridge
-113.5095,-18.9088,33,ridge
,,33,ridge
-113.3596,-18.7511,34,ridge
-113.3872,-18.8037,34,ridge
-113.3991,-18.89,34,ridge
-113.4306,-18.9688,34,ridge
-113.4976,-19.0438,34,ridge
-113.5331,-19.0963,34,ridge
-113.5765,-19.1638,34,ridge
-113.5923,-19.22,34,ridge
-113.612,-19.2949,34,ridge
-113.6238,-19.3398,34,ridge
-113.6317,-19.3772,34,ridge
,,34,ridge
-113.4937,-19.2387,35,ridge
-113.5213,-19.3061,35,ridge
-113.545,-19.3997,35,ridge
-113.5804,-19.5044,35,ridge
-113.6356,-19.6203,35,ridge
-113.6672,-19.7025,35,ridge
-113.7027,-19.8817,35,ridge
-113.7342,-20.0606,35,ridge
-113.75,-20.1761,35,ridge
-113.7579,-20.2617,35,ridge
-113.7737,-20.3398,35,ridge
-113.8446,-20.4922,35,ridge
-113.8801,-20.5999,35,ridge
-113.9156,-20.7002,35,ridge
,,35,ridge
-113.9827,-20.6296,36,ridge
-114.0181,-20.6927,36,ridge
-114.1088,-20.9189,36,ridge
-114.1325,-21.0448,36,ridge
-114.1562,-21.13,36,ridge
-114.164,-21.2224,36,ridge
-114.1759,-21.3148,36,ridge
-114.1759,-21.4035,36,ridge
-114.1838,-21.5142,36,ridge
-114.2035,-21.6101,36,ridge
-114.2232,-21.6986,36,ridge
-114.2468,-21.787,36,ridge
-114.2547,-21.8423,36,ridge
,,36,ridge
-114.3099,-21.6581,37,ridge
-114.3651,-21.6839,37,ridge
-114.4046,-21.7612,37,ridge
-114.4203,-21.8386,37,ridge
-114.4243,-21.9122,37,ridge
-114.4085,-21.971,37,ridge
-114.3967,-22.0336,37,ridge
-114.3888,-22.0556,37,ridge
-114.3691,-22.1144,37,ridge
-114.3651,-22.1842,37,ridge
-114.3691,-22.243,37,ridge
-114.3849,-22.3017,37,ridge
-114.3967,-22.3457,37,ridge
,,37,ridge
-114.3967,-22.1438,38,ridge
-114.4164,-22.1769,38,ridge
-114.4834,-22.2283,38,ridge
-114.5268,-22.3017,38,ridge
-114.5465,-22.4081,38,ridge
-114.586,-22.5473,38,ridge
-114.6096,-22.6462,38,ridge
-114.6175,-22.7523,38,ridge
-114.6254,-22.8875,38,ridge
-114.6136,-22.9606,38,ridge
