segment,lon,lat
49,172.799,-40.494
49,173.02,-40.919
49,173.247,-41.332
49,173.958,-40.927
49,174.248,-41.349
49,174.249,-41.77
49,173.876,-42.233
49,173.223,-42.97
49,172.711,-43.372
49,173.08,-43.853
49,172.309,-43.866
49,171.453,-44.242
49,171.185,-44.897
49,170.617,-45.909
49,169.831,-46.356
49,169.332,-46.641
49,168.411,-46.62
49,167.764,-46.29
49,166.677,-46.22
49,166.509,-45.853
49,167.046,-45.111
49,168.304,-44.124
49,168.949,-43.936
49,169.668,-43.555
,,
50,147.689,-40.808
50,148.289,-40.875
50,148.36,-42.062
50,148.017,-42.407
50,147.914,-43.212
50,147.565,-42.938
50,146.87,-43.635
50,146.663,-43.581
50,146.048,-43.55
50,145.432,-42.694
50,145.295,-42.034
50,144.718,-41.163
50,144.744,-40.704
50,145.398,-40.793
50,146.364,-41.138
50,146.909,-41.001
50,147.689,-40.808
,,
51,126.149,-32.216
51,125.089,-32.729
51,124.222,-32.959
51,124.029,-33.484
51,123.66,-33.89
51,122.811,-33.914
51,122.183,-34.003
51,121.299,-33.821
51,120.58,-33.93
51,119.894,-33.976
51,119.299,-34.509
51,119.007,-34.464
51,118.506,-34.747
51,118.025,-35.065
51,117.296,-35.025
51,116.625,-35.025
51,115.564,-34.386
51,115.027,-34.197
51,115.049,-33.623
51,115.545,-33.487
51,115.715,-33.26
51,115.679,-32.9
51,115.802,-32.205
51,115.69,-31.612
51,115.161,-30.602
51,114.997,-30.031
51,115.04,-29.461
51,114.642,-28.81
51,114.616,-28.516
51,114.174,-28.118
51,114.049,-27.335
51,113.477,-26.543
51,113.339,-26.117
51,113.778,-26.549
51,113.441,-25.621
51,113.937,-25.911
51,114.233,-26.298
51,114.216,-25.786
51,113.721,-24.999
51,113.625,-24.684
51,113.394,-24.385
51,113.502,-23.806
51,113.707,-23.56
51,113.843,-23.06
51,113.737,-22.475
51,114.15,-21.756
51,114.225,-22.517
51,114.648,-21.83
51,115.46,-21.495
51,115.947,-21.069
51,116.712,-20.702
51,117.166,-20.624
51,117.442,-20.747
51,118.23,-20.374
51,118.836,-20.263
51,118.988,-20.044
51,119.252,-19.953
51,119.805,-19.977
51,120.856,-19.684
51,121.4,-19.24
51,121.655,-18.705
51,122.242,-18.198
51,122.287,-17.799
51,122.313,-17.255
51,123.013,-16.405
51,123.434,-17.269
51,123.859,-17.069
51,123.503,-16.597
51,123.817,-16.111
51,124.258,-16.328
51,124.38,-15.567
51,124.926,-15.075
51,125.167,-14.68
51,125.67,-14.51
51,125.686,-14.231
51,126.125,-14.347
51,126.143,-14.096
51,126.583,-13.953
51,127.066,-13.818
51,127.805,-14.277
51,128.36,-14.869
51,128.986,-14.876
51,129.621,-14.97
51,129.41,-14.421
51,129.889,-13.619
51,130.339,-13.357
51,130.184,-13.108
51,130.618,-12.536
51,131.223,-12.184
51,131.735,-12.302
51,132.575,-12.114
51,132.557,-11.603
51,131.825,-11.274
51,132.357,-11.129
51,133.02,-11.376
51,133.551,-11.787
51,134.393,-12.042
51,134.679,-11.941
51,135.298,-12.249
51,135.883,-11.962
51,136.258,-12.049
51,136.492,-11.857
51,136.952,-12.352
51,136.685,-12.887
51,136.305,-13.291
51,135.962,-13.325
51,136.078,-13.724
51,135.784,-14.224
51,135.429,-14.715
51,135.5,-14.998
51,136.295,-15.55
51,137.065,-15.871
51,137.58,-16.215
51,138.303,-16.808
51,138.585,-16.807
51,139.109,-17.063
51,139.261,-17.372
51,140.215,-17.711
51,140.875,-17.369
51,141.071,-16.832
51,141.274,-16.389
51,141.398,-15.841
51,141.702,-15.045
51,141.563,-14.561
51,141.636,-14.27
51,141.52,-13.698
51,141.651,-12.945
51,141.843,-12.742
51,141.687,-12.408
51,141.929,-11.877
51,142.118,-11.328
51,142.144,-11.043
51,142.515,-10.668
51,142.797,-11.157
51,142.867,-11.785
51,143.116,-11.906
51,143.159,-12.326
51,143.522,-12.834
51,143.597,-13.4
51,143.562,-13.764
51,143.922,-14.548
51,144.564,-14.171
51,144.895,-14.594
51,145.375,-14.985
51,145.272,-15.428
51,145.485,-16.286
51,145.637,-16.785
51,145.889,-16.907
51,146.16,-17.762
51,146.064,-18.28
51,146.387,-18.958
51,147.471,-19.481
51,148.178,-19.956
51,148.848,-20.391
51,148.717,-20.633
51,149.289,-21.261
51,149.678,-22.343
51,150.077,-22.123
51,150.483,-22.556
51,150.727,-22.402
51,150.9,-23.462
51,151.609,-24.076
51,152.074,-24.458
51,152.855,-25.268
51,153.136,-26.071
51,153.162,-26.641
51,153.093,-27.26
51,153.569,-28.11
51,153.512,-28.995
51,153.339,-29.458
51,153.069,-30.35
51,153.09,-30.924
51,152.892,-31.64
51,152.45,-32.55
51,151.709,-33.041
51,151.344,-33.816
51,151.011,-34.31
51,150.714,-35.173
51,150.328,-35.672
51,150.075,-36.42
51,149.946,-37.109
51,149.997,-37.425
51,149.424,-37.773
51,148.305,-37.809
51,147.382,-38.219
51,146.922,-38.607
51,146.318,-39.036
51,145.49,-38.594
51,144.877,-38.417
51,145.032,-37.896
51,144.486,-38.085
51,143.61,-38.809
51,142.745,-38.538
51,142.178,-38.38
51,141.607,-38.309
51,140.639,-38.019
51,139.992,-37.403
51,139.807,-36.644
51,139.574,-36.138
51,139.083,-35.733
51,138.121,-35.612
51,138.449,-35.127
51,138.208,-34.385
51,137.719,-35.077
51,136.829,-35.261
51,137.352,-34.707
51,137.504,-34.13
51,137.89,-33.64
51,137.81,-32.9
51,136.997,-33.753
51,136.372,-34.095
51,135.989,-34.89
51,135.208,-34.479
51,135.239,-33.948
51,134.613,-33.223
51,134.086,-32.848
51,134.274,-32.617
51,132.991,-32.011
51,132.288,-31.983
51,131.326,-31.496
51,129.536,-31.59
51,128.241,-31.948
51,127.103,-32.282
51,126.149,-32.216
,,
52,81.788,7.523
52,81.637,6.482
52,81.218,6.197
52,80.348,5.968
52,79.872,6.763
52,79.695,8.201
52,80.148,9.824
52,80.839,9.268
52,81.304,8.564
52,81.788,7.523
,,
53,129.371,-2.802
53,130.471,-3.094
53,130.835,-3.858
53,129.991,-3.446
53,129.155,-3.363
53,128.591,-3.429
53,127.899,-3.393
53,128.136,-2.844
53,129.371,-2.802
,,
54,126.875,-3.791
54,126.184,-3.607
54,125.989,-3.177
54,127.001,-3.129
54,127.249,-3.459
54,126.875,-3.791
,,
55,127.932,2.175
55,128.004,1.629
55,128.595,1.541
55,128.688,1.132
55,128.636,0.258
55,128.12,0.356
55,127.968,-0.252
55,128.38,-0.78
55,128.1,-0.9
55,127.696,-0.267
55,127.399,1.012
55,127.601,1.811
55,127.932,2.175
,,
56,122.928,0.875
56,124.078,0.917
56,125.066,1.643
56,125.241,1.42
56,124.437,0.428
56,123.686,0.236
56,122.723,0.431
56,121.057,0.381
56,120.183,0.237
56,120.041,-0.52
56,120.936,-1.409
56,121.476,-0.956
56,123.341,-0.616
56,123.258,-1.076
56,122.823,-0.931
56,122.389,-1.517
56,121.508,-1.904
56,122.455,-3.186
56,122.272,-3.53
56,123.171,-4.684
56,123.162,-5.341
56,122.629,-5.635
56,122.236,-5.283
56,122.72,-4.464
56,121.738,-4.851
56,121.489,-4.575
56,121.619,-4.188
56,120.898,-3.602
56,120.972,-2.628
56,120.305,-2.932
56,120.39,-4.098
56,120.431,-5.528
56,119.797,-5.673
56,119.367,-5.38
56,119.654,-4.459
56,119.499,-3.494
56,119.078,-3.487
56,118.768,-2.802
56,119.181,-2.147
56,119.323,-1.353
56,119.826,0.154
56,120.036,0.566
56,120.886,1.309
56,121.667,1.014
56,122.928,0.875
,,
57,120.295,-10.259
57,118.968,-9.558
57,119.9,-9.361
57,120.426,-9.666
57,120.776,-9.97
57,120.716,-10.24
57,120.295,-10.259
,,
58,121.342,-8.537
58,122.007,-8.461
58,122.904,-8.094
58,122.757,-8.65
58,121.254,-8.934
58,119.924,-8.81
58,119.921,-8.445
58,120.715,-8.237
58,121.342,-8.537
,,
59,118.261,-8.362
59,118.878,-8.281
59,119.127,-8.706
59,117.97,-8.907
59,117.278,-9.041
59,116.74,-9.033
59,117.084,-8.457
59,117.632,-8.449
59,117.9,-8.096
59,118.261,-8.362
,,
60,108.487,-6.422
60,108.623,-6.778
60,110.539,-6.877
60,110.76,-6.465
60,112.615,-6.946
60,112.979,-7.594
60,114.479,-7.777
60,115.706,-8.371
60,114.565,-8.752
60,113.465,-8.349
60,112.56,-8.376
60,111.522,-8.302
60,110.586,-8.123
60,109.428,-7.741
60,108.694,-7.642
60,108.278,-7.767
60,106.454,-7.355
60,106.281,-6.925
60,105.365,-6.851
60,106.052,-5.896
60,107.265,-5.955
60,108.072,-6.346
60,108.487,-6.422
,,
61,104.37,-1.085
61,104.539,-1.782
61,104.888,-2.34
61,105.622,-2.429
61,106.109,-3.062
