time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-04-10T19:15:48.320Z,34.6348333,-117.1166667,-1.284,1.69,ml,27,51,0.218,0.17,ci,ci37361064,2016-03-11T15:24:51.930Z,"16km NNE of Apple Valley, CA",quarry blast,0.33,31.61,0.158,28,reviewed,ci,ci
2015-04-10T20:03:54.700Z,33.8551667,-117.5056667,-0.552,1.75,ml,43,59,0.05045,0.2,ci,ci37361112,2016-03-11T23:04:17.860Z,"3km SSE of Home Gardens, CA",quarry blast,0.34,31.61,0.159,48,reviewed,ci,ci
2015-04-17T20:16:17.190Z,33.841,-117.4891667,-0.564,1.65,ml,54,48,0.04363,0.21,ci,ci37147391,2016-03-12T06:32:47.312Z,"5km SE of Home Gardens, CA",quarry blast,0.31,31.61,0.139,43,reviewed,ci,ci
2015-04-19T23:29:28.300Z,35.0295,-117.669,-0.809,1.78,ml,27,60,0.0975,0.2,ci,ci37148287,2016-03-11T15:25:37.212Z,"4km NNW of Boron, CA",quarry blast,0.54,31.61,0.131,24,reviewed,ci,ci
2015-04-20T17:59:24.400Z,34.3286667,-116.9353333,-1.53,1.55,ml,32,91,0.06729,0.23,ci,ci37148775,2016-03-12T04:42:14.240Z,"10km NNW of Big Bear Lake, CA",quarry blast,0.48,31.61,0.11,30,reviewed,ci,ci
2015-04-20T18:02:52.620Z,33.0545,-114.9843333,-0.157,1.68,ml,9,124,0.08222,0.28,ci,ci37148783,2016-03-11T11:47:12.544Z,"46km NE of Holtville, CA",quarry blast,1.07,31.61,0.185,1,reviewed,ci,ci
2015-04-20T20:05:50.910Z,33.8541667,-117.5045,-0.519,1.71,ml,47,58,0.05175,0.22,ci,ci37148879,2016-03-12T04:42:15.789Z,"3km SSE of Home Gardens, CA",quarry blast,0.4,31.61,0.14,41,reviewed,ci,ci
2015-04-20T23:26:54.780Z,35.0395,-117.6581667,-0.827,1.5,ml,19,116,0.1094,0.21,ci,ci37148967,2016-03-12T04:42:17.040Z,"4km N of Boron, CA",quarry blast,0.63,31.61,0.214,12,reviewed,ci,ci
2015-04-22T17:44:36.470Z,34.344,-116.885,-1.59,1.55,ml,34,61,0.08671,0.28,ci,ci37150183,2016-03-12T02:49:29.894Z,"10km NNW of Big Bear City, CA",quarry blast,0.44,31.61,0.115,29,reviewed,ci,ci
2015-04-22T18:12:48.130Z,33.0653333,-114.9878333,-0.183,1.5,ml,4,245,0.09322,0.08,ci,ci37130876,2016-03-12T00:58:07.570Z,"46km NE of Holtville, CA",quarry blast,2.78,31.61,0.093,3,reviewed,ci,ci
2015-04-23T17:36:39.880Z,35.0458333,-118.3286667,-0.93,1.51,ml,11,124,0.05611,0.15,ci,ci37150815,2016-03-11T13:34:23.572Z,"14km W of Mojave, CA",quarry blast,0.48,31.61,0.067,5,reviewed,ci,ci
2015-04-23T18:05:49.750Z,33.8221667,-117.4848333,-0.57,1.57,ml,51,49,0.0335,0.23,ci,ci37150823,2016-03-12T02:49:31.484Z,"7km SSE of Home Gardens, CA",quarry blast,0.28,31.61,0.16,31,reviewed,ci,ci
2015-04-24T20:42:29.450Z,34.6241667,-117.1143333,-1.57,1.59,ml,22,93,0.1886,0.19,ci,ci37151231,2016-03-11T15:26:02.523Z,"15km NNE of Apple Valley, CA",quarry blast,0.49,31.61,0.084,18,reviewed,ci,ci
2015-04-27T17:06:13.740Z,35.0505,-118.352,-0.93,1.75,ml,9,100,0.06037,0.18,ci,ci37152343,2016-03-11T11:47:33.448Z,"13km SE of Tehachapi, CA",quarry blast,0.59,31.61,0.509,2,reviewed,ci,ci
2015-04-27T18:43:40.920Z,33.0541667,-114.967,-0.25,1.97,ml,3,149,0.08225,0.03,ci,ci37152359,2016-03-11T23:05:47.115Z,"45km NNW of Los Algodones, B.C., MX",quarry blast,0.21,31.61,0.085,1,reviewed,ci,ci
2015-04-27T23:27:58.310Z,35.051,-117.6603333,-0.8,1.67,ml,22,61,0.12,0.11,ci,ci37152519,2016-03-12T02:49:52.922Z,"6km N of Boron, CA",quarry blast,0.28,31.61,0.104,12,reviewed,ci,ci
2015-04-28T18:02:21.000Z,33.0605,-114.9863333,-0.17,1.55,ml,6,192,0.08831,0.18,ci,ci37153127,2016-03-11T06:26:41.598Z,"46km NE of Holtville, CA",quarry blast,0.94,31.61,0.03,2,reviewed,ci,ci
2015-04-28T20:37:04.250Z,34.6321667,-117.1096667,-1.04,1.88,ml,35,52,0.195,0.16,ci,ci37153287,2016-03-11T23:05:57.761Z,"16km NNE of Apple Valley, CA",quarry blast,0.25,31.61,0.116,44,reviewed,ci,ci
2015-04-28T23:30:32.480Z,35.0461667,-117.6665,-0.82,1.67,ml,23,139,0.1142,0.13,ci,ci37153423,2016-03-12T02:49:57.256Z,"5km NNW of Boron, CA",quarry blast,0.35,31.61,0.214,11,reviewed,ci,ci
2015-04-29T17:10:01.500Z,34.3563333,-117.0213333,-1.4,1.52,ml,26,106,0.1,0.19,ci,ci37153871,2016-03-12T02:50:05.124Z,"11km SSW of Lucerne Valley, CA",quarry blast,0.44,31.61,0.134,35,reviewed,ci,ci
2015-04-30T18:06:03.310Z,33.0526667,-114.9726667,-0.13,1.72,ml,5,147,0.08036,0.18,ci,ci37372752,2016-03-11T02:47:35.562Z,"45km NNW of Los Algodones, B.C., MX",quarry blast,0.92,31.61,0.186,1,reviewed,ci,ci
2015-04-30T20:30:17.240Z,33.863,-117.506,-0.521,1.76,ml,42,54,0.04754,0.19,ci,ci37372840,2016-03-12T00:58:38.824Z,"2km SE of Home Gardens, CA",quarry blast,0.29,31.61,0.17,41,reviewed,ci,ci
2015-05-01T18:11:43.660Z,35.048,-118.3515,-1.02,1.51,ml,22,51,0.05785,0.18,ci,ci37373240,2016-03-11T02:47:40.270Z,"13km SE of Tehachapi, CA",quarry blast,0.4,31.61,0.073,11,reviewed,ci,ci
2015-05-04T20:30:10.690Z,40.7476667,-122.3125,-0.674,1.88,md,28,53,0.2414,0.07,nc,nc72440050,2017-02-07T18:10:10.537Z,"3 km NNE of Mountain Gate, California",quarry blast,0.2,31.61,0.246,32,reviewed,nc,nc
2015-05-05T20:46:54.770Z,34.6335,-117.114,-1.04,1.88,ml,31,51,0.1921,0.16,ci,ci37375496,2016-03-14T16:09:00.976Z,"16km NNE of Apple Valley, CA",quarry blast,0.31,31.61,0.17,32,reviewed,ci,ci
2015-05-07T18:06:04.600Z,33.0513333,-114.9755,-0.16,1.99,ml,6,146,0.07893,0.17,ci,ci37376416,2016-03-14T16:09:09.399Z,"45km NNW of Los Algodones, B.C., MX",quarry blast,0.9,31.61,0.091,1,reviewed,ci,ci
2015-05-08T19:45:25.460Z,33.8615,-117.4998333,-0.55,1.92,ml,58,44,0.05289,0.24,ci,ci37376984,2016-03-11T15:27:31.789Z,"3km SE of Home Gardens, CA",quarry blast,0.32,31.61,0.134,37,reviewed,ci,ci
2015-05-11T16:12:56.580Z,34.635,-117.3055,-0.93,1.54,ml,28,89,0.07679,0.2,ci,ci37378368,2016-03-11T13:35:35.087Z,"11km N of Victorville, CA",quarry blast,0.39,31.61,0.204,25,reviewed,ci,ci
2015-05-11T20:38:20.840Z,33.8205,-117.4846667,-0.13,1.6,ml,39,52,0.03316,0.26,ci,ci37378624,2016-03-11T04:38:02.718Z,"7km SSE of Home Gardens, CA",quarry blast,0.42,31.61,0.143,28,reviewed,ci,ci
